ZIP,CITY,STATEID,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,CLUSTER
26351,Glenville,WV,Post Office,Courthouse,Tattoo Parlor,Coffee Shop,Bank,Bakery,BBQ Joint,Gas Station,Comfort Food Restaurant,Pizza Place,6
26362,Harrisville,WV,Financial or Legal Service,Gas Station,Miscellaneous Shop,Hardware Store,Bank,Courthouse,Office,Driving School,Discount Store,Distillery,6
26378,Jane Lew,WV,Gas Station,Park,Convenience Store,Café,Fire Station,Doctor\\'s Office,Church,Resort,Diner,Discount Store,7
26385,Lost Creek,WV,Library,Playground,Gas Station,Bar,State / Provincial Park,Cemetery,Fire Station,Elementary School,Donut Shop,Discount Store,3
26408,Mount Clare,WV,Irish Pub,Construction & Landscaping,Other Great Outdoors,Physical Therapist,Building,Fire Station,Gift Shop,Drugstore,Distillery,Distribution Center,0
26415,Pennsboro,WV,Hardware Store,Antique Shop,Pizza Place,Café,Financial or Legal Service,Discount Store,Government Building,Gas Station,Hotel,Convention Center,3
26416,Philippi,WV,Building,Courthouse,Tex-Mex Restaurant,Newsstand,Wine Bar,Asian Restaurant,Ice Cream Shop,Food,Electronics Store,Distribution Center,6
26426,Salem,WV,Gas Station,Post Office,Hardware Store,Convenience Store,Discount Store,Pharmacy,Office,College Administrative Building,Italian Restaurant,Doctor\\'s Office,3
26431,Shinnston,WV,Antique Shop,Automotive Shop,Pharmacy,Professional & Other Places,Church,Building,Bike Shop,Bank,Post Office,Assisted Living,7
26452,Weston,WV,Bank,Antique Shop,Pharmacy,Jewelry Store,Grocery Store,Museum,Office,Pizza Place,Post Office,Event Space,0
26456,West Union,WV,Gas Station,Salon / Barbershop,Government Building,Library,Discount Store,Restaurant,Food,Drugstore,Elementary School,Design Studio,3
26571,Farmington,WV,Discount Store,Gas Station,Diner,Dentist\\'s Office,Sandwich Place,Convenience Store,Convention Center,Funeral Home,Doctor\\'s Office,Donut Shop,3
26582,Mannington,WV,Historic Site,General Entertainment,Middle School,Smoke Shop,Food & Drink Shop,Laundromat,Bank,Gas Station,Pharmacy,Costume Shop,3
